,source,author,title,description,url,urlToImage,publishedAt,content
40,"{'id': None, 'name': 'Slashdot.org'}",aglandpartners,Ag land partners LLC,"Address:121 F StWaterford, CA 95386Phone:209-409-4935Farm Management is where Agland Partners began its foundation recognizing the need for absentee landowners and investorsto partner with a comprehensive “hands-on” farming team that can manage its day-to-day…",https://slashdot.org/submission/17087798/ag-land-partners-llc,,2022-12-25T12:27:20Z,"Address:121 F StWaterford, CA 95386Phone:209-409-4935
Farm Management is where Agland Partners began its foundation recognizing the need for absentee landowners and investorsto partner with a compre… [+488 chars]"
41,"{'id': None, 'name': 'Seeking Alpha'}",Friso Alenus,MGM Resorts: Raise Your Bet For 2023,"MGM Resorts' Q3 results are topping pre-pandemic revenues, while the business in China is lagging behind. Read why I consider MGM to outperform in 2023.",https://seekingalpha.com/article/4566363-mgm-resorts-raise-your-bet-2023,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1136150765/image_1136150765.jpg?io=getty-c-w750,2022-12-25T12:21:39Z,"gionnixxx/iStock Unreleased via Getty Images
Writing about a stock pick of the following year is quite difficult as the time span is short and yet a lot of unpredictable things can happen.
 However… [+8249 chars]"
42,"{'id': 'abc-news', 'name': 'ABC News'}",LAURA UNGAR and ANIRUDDHA GHOSAL Associated Press,China's COVID-19 surge raises odds of new coronavirus mutant,Could the COVID-19 surge in China unleash a new coronavirus mutant on the world,https://abcnews.go.com/Technology/wireStory/chinas-covid-19-surge-spawn-new-coronavirus-mutant-95806198,https://s.abcnews.com/images/US/abc_news_default_2000x2000_update_16x9_992.jpg,2022-12-25T12:20:59Z,"Could the COVID-19 surge in China unleash a new coronavirus mutant on the world?
Scientists dont know but worry that might happen. It could be similar to omicron variants circulating there now. It c… [+3889 chars]"
43,"{'id': None, 'name': 'ActionNewsJax.com'}",LAURA UNGAR and ANIRUDDHA GHOSAL,China's COVID-19 surge raises odds of new coronavirus mutant,Could the COVID-19 surge in China unleash a new coronavirus mutant on the world,https://www.actionnewsjax.com/news/world/chinas-covid-19/E3TYF5MPUMVKEHADPNSNTXGNDY/,https://cmg-cmg-tv-10050-prod.cdn.arcpublishing.com/resizer/Akqm6Znl_zho-uEOXJbcFuAIao8=/1440x810/filters:format(jpg):quality(70)/cloudfront-us-east-1.images.arcpublishing.com/cmg/DHTSMPDQEI6F43URMLXJUCCB6A.jpg,2022-12-25T12:20:30Z,"Could the COVID-19 surge in China unleash a new coronavirus mutant on the world?
Scientists dont know but worry that might happen. It could be similar to omicron variants circulating there now. It c… [+4047 chars]"
44,"{'id': None, 'name': 'Business Standard'}",ANI,Microsoft employee mistakenly leaks new version of Notepad with tabs,"An employee of the American tech giant Microsoft has accidentally announced that Windows 11's Notepad app is getting a tabs feature.According to The Verge, an American technology news website, a photo of a version of Notepad with tabs was shared by the employ…",https://www.business-standard.com/article/technology/microsoft-employee-mistakenly-leaks-new-version-of-notepad-with-tabs-122122500474_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2021-07/20/full/1626719534-4617.jpg,2022-12-25T12:18:00Z,"An employee of the American tech giant Microsoft has accidentally announced that Windows 11's Notepad app is getting a tabs feature.
According to The Verge, an American technology news website, a ph… [+1463 chars]"
45,"{'id': None, 'name': 'Biztoc.com'}",theguardian.com,Aptamer: the York biotech working on precision cancer treatments,"Inside a science park lab next to the University of York, two clusters of robots are busy moving clear plates with mechanical arms as they screen many millions of molecules. The machines need only 24 hours to complete work that would usually take teams of hum…",https://biztoc.com/x/9057f347ee1e9dd2,https://c.biztoc.com/p/9057f347ee1e9dd2/og.webp,2022-12-25T12:16:05Z,"Inside a science park lab next to the University of York, two clusters of robots are busy moving clear plates with mechanical arms as they screen many millions of molecules. The machines need only 24… [+444 chars]"
46,"{'id': None, 'name': 'iLounge'}",Samantha Wiley,Grab the Latest 5th-Generation iPad Air at $99 Off,"Holiday is in full swing, and today you can buy the amazing iPad Air 5 at an equally amazing price. The 5th generation iPad ... Read more",https://www.ilounge.com/news/ipad/grab-the-latest-5th-generation-ipad-air-at-99-off,https://www.ilounge.com/wp-content/uploads/2022/12/Apple-iPad.png,2022-12-25T12:13:53Z,"Holiday is in full swing, and today you can buy the amazing iPad Air 5 at an equally amazing price. The 5th generation iPad Air with WiFi and 64GB storage is down to just $499.99 from its original pr… [+670 chars]"
47,"{'id': 'associated-press', 'name': 'Associated Press'}",By LAURA UNGAR and ANIRUDDHA GHOSAL - Associated Press,China's COVID-19 surge raises odds of new coronavirus mutant,Could the COVID-19 surge in China unleash a new coronavirus mutant on the world? Scientists don’t know but worry that might happen. It could be similar to omicron variants circulating there now. It could be a combination of strains. Or…,https://apnews.com/306b688d84e31a9462f82d0ead1f4584,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/assets/v3/editorial/d/df/ddfc5962-711f-5ce6-bb22-a47ad1b6c029/63a83ed48ac10.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,2022-12-25T12:12:38Z,"By LAURA UNGAR and ANIRUDDHA GHOSAL - Associated Press
Could the COVID-19 surge in China unleash a new coronavirus mutant on the world?
Scientists dont know but worry that might happen. It could be… [+4180 chars]"
48,"{'id': None, 'name': 'Yahoo Entertainment'}",Simply Wall St,Here's What We Like About Micron Technology's (NASDAQ:MU) Upcoming Dividend,"It looks like Micron Technology, Inc. ( NASDAQ:MU ) is about to go ex-dividend in the next 4 days. The ex-dividend date...",https://finance.yahoo.com/news/heres-micron-technologys-nasdaq-mu-121015884.html,https://media.zenfs.com/en/simply_wall_st__316/18417098744f61302bf9dacf5ce08c74,2022-12-25T12:10:15Z,"It looks like Micron Technology, Inc. (NASDAQ:MU) is about to go ex-dividend in the next 4 days. The ex-dividend date is one business day before the record date, which is the cut-off date for shareho… [+4325 chars]"
49,"{'id': None, 'name': 'seattlepi.com'}","By LAURA UNGAR and ANIRUDDHA GHOSAL, Associated Press",China's COVID-19 surge might spawn a new coronavirus mutant,Could the COVID-19 surge in China unleash a new coronavirus mutant on the world? Scientists don't know but worry that might happen. It could be similar to omicron variants circulating there now. It could be a combination of strains. Or something entirely diff…,https://www.seattlepi.com/news/article/China-s-COVID-19-surge-might-spawn-a-new-17676694.php,https://s.hdnux.com/img/modules/siteheader/brand.png,2022-12-25T12:09:55Z,"FILE - Masked commuters walk through a walkway in between two subway stations as they head to work during the morning rush hour in Beijing, Tuesday, Dec. 20, 2022. China continues to adapt to an easi… [+4669 chars]"
50,"{'id': None, 'name': 'CNA'}",,"China must raise self-reliance in agricultural technology, says President Xi Jinping","BEIJING: President Xi Jinping wants China to accelerate efforts to achieve self-reliance in agricultural technology, identifying seed development and core equipment among areas to focus on, state media reported. The central leadership had said in 2020 that th…",https://www.channelnewsasia.com/asia/china-must-raise-self-reliance-agricultural-technology-says-president-xi-jinping-3167546,"https://onecms-res.cloudinary.com/image/upload/s--i7HD1yUO--/fl_relative,g_south_east,l_one-cms:core:watermark:ap_data-1,w_0.1/f_auto,q_auto/c_fill,g_auto,h_676,w_1200/v1/one-cms/core/ye_2022_notebook_chinas_challenges_56014.jpg?itok=D_SL-Op7",2022-12-25T12:09:00Z,"BEIJING: President Xi Jinping wants China to accelerate efforts to achieve self-reliance in agricultural technology, identifying seed development and core equipment among areas to focus on, state med… [+946 chars]"
51,"{'id': None, 'name': 'Biztoc.com'}",wsj.com,"Sensor Tower: Pinduoduo's marketplace Temu gained 10.8M installations in the US since Sep. 1, and became the most downloaded US app between Nov. 1 and Dec. 14","As inflation and recession concerns squeeze American consumers, many are turning to a new mobile app with Chinese roots. Online shopping site Temu has soared in popularity in the U.S. since its launch in September. The rapid growth of the site, which sells ul…",https://biztoc.com/x/2b8221c40c008c5b,https://c.biztoc.com/p/2b8221c40c008c5b/og.webp,2022-12-25T12:08:06Z,"As inflation and recession concerns squeeze American consumers, many are turning to a new mobile app with Chinese roots.
Online shopping site Temu has soared in popularity in the U.S. since its laun… [+313 chars]"
52,"{'id': None, 'name': 'FX Empire'}",Reuters,"China must raise self-reliance in agricultural technology, Xi says","BEIJING (Reuters) -   President Xi Jinping wants China to accelerate efforts to achieve self-reliance in agricultural technology, identifying seed development and core equipment among areas to focus on, state media reported.",https://www.fxempire.com/news/article/china-must-raise-self-reliance-in-agricultural-technology-xi-says-1239823,https://responsive.fxempire.com/width/600/webp-lossy-70.q50/_fxempire_/2022/12/tagreuters.com2022newsml_LYNXMPEIBO0231.jpg,2022-12-25T12:06:59Z,"It is necessary to keep an eye on the frontiers of the worlds agricultural science and technology, the official Xinhua news agency quoted Xi as saying at the central rural work conference held in Bei… [+619 chars]"
53,"{'id': None, 'name': 'Toronto Star'}",Laura Ungar And Aniruddha Ghosal - The Associated Press,China’s COVID-19 surge raises odds of new coronavirus mutant,Could the COVID-19 surge in China unleash a new coronavirus mutant on the world?,https://www.thestar.com/news/world/2022/12/25/chinas-covid-19-surge-might-spawn-a-new-coronavirus-mutant.html,https://images.thestar.com/Al_UH_SgnhLRg-8VhfFwcYHRcMY=/1280x1024/smart/filters:cb(1671970636935):format(webp)/https://www.thestar.com/content/dam/thestar/news/world/2022/12/25/chinas-covid-19-surge-raises-odds-of-new-coronavirus-mutant/2022122507124-63a83cb6821cf083b82f8481jpeg.jpg,2022-12-25T12:06:22Z,"Could the COVID-19 surge in China unleash a new coronavirus mutant on the world?
Scientists dont know but worry that might happen. It could be similar to omicron variants circulating there now. It c… [+4224 chars]"
54,"{'id': None, 'name': 'WSLS 10'}","Laura Ungar And Aniruddha Ghosal, Associated Press",China's COVID-19 surge might spawn a new coronavirus mutant,Could the COVID-19 surge in China unleash a new coronavirus mutant on the world.,https://www.wsls.com/news/world/2022/12/25/chinas-covid-19-surge-might-spawn-a-new-coronavirus-mutant/,"https://res.cloudinary.com/graham-media-group/image/upload/f_auto/q_auto/c_thumb,w_700/v1/media/gmg/RKCAUFJDHBHLBOHMMEQACSRXHU.jpg?_a=ATO2Bfe0",2022-12-25T12:04:53Z,"Could the COVID-19 surge in China unleash a new coronavirus mutant on the world?
Scientists dont know but worry that might happen. It could be similar to omicron variants circulating there now. It c… [+4053 chars]"
55,"{'id': 'independent', 'name': 'Independent'}",Laura Ungar and Aniruddha Ghosal,China's COVID-19 surge might spawn a new coronavirus mutant,Could the COVID-19 surge in China unleash a new coronavirus mutant on the world,https://www.independent.co.uk/news/china-ap-covid-scientists-experts-b2251300.html,https://static.independent.co.uk/2022/12/25/12/Virus_Outbreak_China_Variants_10750.jpg?quality=75&width=1200&auto=webp,2022-12-25T12:04:53Z,"For free real time breaking news alerts sent straight to your inbox sign up to our breaking news emails
Sign up to our free breaking news emails
Could the COVID-19 surge in China unleash a new coro… [+4046 chars]"
56,"{'id': None, 'name': 'Yahoo Entertainment'}",LAURA UNGAR and ANIRUDDHA GHOSAL,China's COVID-19 surge raises odds of new coronavirus mutant,"Could the COVID-19 surge in China unleash a new coronavirus mutant on the world?  Every new infection offers a chance for the coronavirus to mutate, and the ...",https://news.yahoo.com/chinas-covid-19-surge-might-120452329.html,https://s.yimg.com/ny/api/res/1.2/ropnx..lKXG8wUGb8yolwg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/ap.org/abe01a941a4faf88b4f2f2f7a34f5a55,2022-12-25T12:04:52Z,"Could the COVID-19 surge in China unleash a new coronavirus mutant on the world?
Scientists dont know but worry that might happen. It could be similar to omicron variants circulating there now. It c… [+3894 chars]"
57,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,China must raise self-reliance in agricultural technology: Xi Jinping,"The President urged China's agricultural sector to ""vigourously improve"" its science and technology, with more efficient innovation. Xi urged the sector to address issues with innovation, such as the rate of conversion into commercial applications and a lack …",https://economictimes.indiatimes.com/news/international/world-news/china-must-raise-self-reliance-in-agricultural-technology-xi-jinping/articleshow/96497345.cms,"https://img.etimg.com/thumb/msid-96497367,width-1070,height-580,imgsize-19954,overlay-economictimes/photo.jpg",2022-12-25T12:04:14Z,"President Xi Jinping wants China to accelerate efforts to achieve self-reliance in agricultural technology, identifying seed development and core equipment among areas to focus on, state media report… [+1032 chars]"
58,"{'id': None, 'name': 'Business Standard'}",Press Trust of India,Sensex navigates geopolitical gyrations to outshine global peers,"After a two-year liquidity-fuelled bull run, the BSE Sensex faced its moment of reckoning in 2022 as Russia marched into Ukraine, the US Federal Reserve came out all guns blazing in its war against inflation and a cataclysm engulfed global financial markets.
…",https://www.business-standard.com/article/markets/sensex-navigates-geopolitical-gyrations-to-outshine-global-peers-122122500494_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2022-12/16/full/1671165580-2522.jpg,2022-12-25T12:04:00Z,"After a two-year liquidity-fuelled bull run, the BSE Sensex faced its moment of reckoning in 2022 as Russia marched into Ukraine, the US Federal Reserve came out all guns blazing in its war against i… [+6771 chars]"
59,"{'id': None, 'name': 'Forbes'}","Paul Iddon, Contributor, 
 Paul Iddon, Contributor
 https://www.forbes.com/sites/pauliddon/",'Knocking Down' Ukraine's Patriot Battery Would Give Russia A Much-Needed Propaganda Coup,Such an attempt could succeed for one primary reason.,https://www.forbes.com/sites/pauliddon/2022/12/25/knocking-down-ukraines-patriot-battery-would-give-russia-a-much-needed-propaganda-coup/,https://imageio.forbes.com/specials-images/imageserve/63a71f1e59cd91ad131d7c75/0x0.jpg?format=jpg&width=1200,2022-12-25T12:00:35Z,Russian President Vladimir Putin has declared Russia will destroy the MIM-104 Patriot air defense missile system the United States is delivering to Ukraine. Striking the single most advanced system t… [+5760 chars]
60,"{'id': None, 'name': 'Rigzone'}",Bloomberg News,Soaring China Covid Cases Push Economic Activity Off a Cliff,China's soaring Covid infections are keeping people home.,https://www.rigzone.com/news/wire/soaring_china_covid_cases_push_economic_activity_off_a_cliff-25-dec-2022-171509-article/,https://images.rigzone.com/images/news/articles/Soaring-China-Covid-Cases-Push-Economic-Activity-Off-a-Cliff-171509-582x327.png,2022-12-25T12:00:01Z,"China’s soaring Covid infections are keeping people home and causing a slump in travel and economic activity, according to the latest high-frequency data.
Following the recent abrupt end to Covid Ze… [+4240 chars]"
61,"{'id': None, 'name': 'CNBC'}",TipRanks.com Staff,Top Wall Street analysts say buy these stocks in a challenging 2023,"TipRanks analyst ranking service pinpoints Wall Street's best-performing stocks, including Amazon and Costco.",https://www.cnbc.com/2022/12/25/top-analysts-say-buy-costco-amazon-in-2023.html,https://image.cnbcfm.com/api/v1/image/106428862-1583499472194rts3427o.jpg?v=1671973201&w=1920&h=1080,2022-12-25T12:00:01Z,"Shoppers line up outside a Costco to buy supplies after the Hawaii Department of Health on Wednesday advised residents they should stock up on a 14-day supply of food, water and other necessities for… [+6402 chars]"
62,"{'id': None, 'name': 'The Guardian'}",Julia Kollewe,Aptamer: the York biotech working on precision cancer treatments,"UK firm links with up global drug firms to make synthetic antibodies capable of binding to targets such as tumour cellsInside a science park lab next to the University of York, two clusters of robots are busy moving clear plates with mechanical arms as they s…",https://www.theguardian.com/business/2022/dec/25/aptamer-york-biotech-cancer-treatments,https://i.guim.co.uk/img/media/c432d7fd0efbb0e3e3f54a59ca1643f5182c7ea7/0_0_7997_4798/master/7997.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=1785cefc75c548383a8eb88deaa7dfb6,2022-12-25T12:00:00Z,"Inside a science park lab next to the University of York, two clusters of robots are busy moving clear plates with mechanical arms as they screen many millions of molecules. The machines need only 24… [+7600 chars]"
63,"{'id': None, 'name': 'Forbes'}",Gene Marks,Your Best Chromebook Deals…And Other Small Business Tech News This Week - Forbes,"Chomebook deals, Apple productivity hacks and whether or not Mastodon is right for your business makes up this week's small business technology news.",https://www.forbes.com/sites/quickerbettertech/2022/12/25/your-best-chromebook-dealsand-other-small-business-tech-news-this-week/,https://imageio.forbes.com/specials-images/imageserve/63a5aae912182b0d0fcc7317/0x0.jpg?format=jpg&width=1200,2022-12-25T12:00:00Z,(Photo by Smith Collection/Gado/Getty Images)
64,"{'id': None, 'name': 'Washington Examiner'}",Sarah Westwood,Republicans divided on fight to take on Big Tech - Washington Examiner,Most Republicans readily agree they should use their forthcoming House majority to take on the so-called Big Tech companies that dominate everything from social media to online shopping.,https://www.washingtonexaminer.com/policy/technology/fight-big-tech-threatens-divide-republicans,https://mediadc.brightspotcdn.com/dims4/default/11bced2/2147483647/strip/true/crop/2290x1202+0+64/resize/1200x630!/quality/90/?url=http%3A%2F%2Fmediadc-brightspot.s3.amazonaws.com%2F28%2Fcc%2Ff2d5fc2340c89f1bf6a3fbd4ed0e%2Fjosh-hawley.jpg,2022-12-25T12:00:00Z,"Most Republicans readily agree they should use their forthcoming House majority to take on the so-called Big Tech companies that dominate everything from social media to online shopping. 
But many d… [+5287 chars]"
65,"{'id': None, 'name': 'Enjoythemusic.com'}",,Casual Reactions By Herb Reichert,"Reckon me this Sound Practices readers. ""Who in world of audio fringe persons am I writing for?"" The editor is not deep into market research and Joyce just says they get letters from a ""broad spectrum"". So who in audio hell is reading this and what are they r…",https://www.enjoythemusic.com/magazine/sound_practices/10/casual_reactions.htm,,2022-12-25T11:59:58Z,"Casual Reactions
Who made me? Everybody's talking... I think it is art.Article By Herb Reichert, Audio Note
NYCFrom Sound Practices Issue 10, Winter 1995
Who Made Me?Reckon me this
 Sound Practic… [+8817 chars]"
66,"{'id': None, 'name': 'Marketscreener.com'}",MarketScreener,"China must raise self-reliance in agricultural technology, Xi says","(marketscreener.com) President Xi Jinping wants China to accelerate efforts to achieve self-reliance in agricultural technology, identifying seed development and core equipment among areas to focus on, state media reported.https://www.marketscreener.com/news/…",https://www.marketscreener.com/news/latest/China-must-raise-self-reliance-in-agricultural-technology-Xi-says--42618475/?utm_medium=RSS&utm_content=20221225,https://img.zonebourse.com/reuters/2022-12/2022-12-15T212709Z_1_LYNXMPEIBE13L_RTROPTP_3_CHINA-SAUDI-ARABS.JPG,2022-12-25T11:57:02Z,"The central leadership had said in 2020 that the country's seed industry was a weak link in the food chain and needed to make better use of science and technology to achieve a turnaround. 
""It is ne… [+815 chars]"
67,"{'id': None, 'name': 'Yahoo Entertainment'}",Reuters,"China must raise self-reliance in agricultural technology, Xi says","President Xi Jinping wants China to accelerate efforts to achieve self-reliance in agricultural technology, identifying seed development and core equipment...",https://news.yahoo.com/china-must-raise-self-reliance-115702182.html,https://media.zenfs.com/en/reuters.com/b07796d00464482386c9791d2a18e046,2022-12-25T11:57:02Z,"BEIJING (Reuters) - President Xi Jinping wants China to accelerate efforts to achieve self-reliance in agricultural technology, identifying seed development and core equipment among areas to focus on… [+1037 chars]"
68,"{'id': None, 'name': 'Business Standard'}",Press Trust of India,Mixed bag of job opportunities await aspirants in 2023; skills in spotlight,"A mixed bag of opportunities is likely to greet job aspirants in the New Year as telecom and services-oriented sectors are anticipated to accelerate hiring after recent gloomy months of pink slips in the technology segment amid global economic turmoil.
Short-…",https://www.business-standard.com/article/jobs/mixed-bag-of-job-opportunities-await-aspirants-in-2023-skills-in-spotlight-122122500435_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2022-07/03/full/1656867405-8526.jpg,2022-12-25T11:57:00Z,A mixed bag of opportunities is likely to greet job aspirants in the New Year as telecom and services-oriented sectors are anticipated to accelerate hiring after recent gloomy months of pink slips in… [+4820 chars]
69,"{'id': 'reuters', 'name': 'Reuters'}",,"China must raise self-reliance in agricultural technology, Xi says - Reuters","President Xi Jinping wants China to accelerate efforts to achieve self-reliance in agricultural technology, identifying seed development and core equipment among areas to focus on, state media reported.",https://www.reuters.com/world/china/china-must-raise-self-reliance-agricultural-technology-xi-says-2022-12-25/,https://www.reuters.com/resizer/ed5INC9GgS1_5P1yiItra2AjSwg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/UBUKKBGE45OIJJD3JDAYCK2RX4.jpg,2022-12-25T11:57:00Z,"BEIJING, Dec 25 (Reuters) - President Xi Jinping wants China to accelerate efforts to achieve self-reliance in agricultural technology, identifying seed development and core equipment among areas to … [+1097 chars]"
70,"{'id': None, 'name': 'Yugatech.com'}",Randolph Novino,Watch: Top Foldable Smartphones in the Philippines 2022,"Are you on the hunt for the ultimate in mobile convenience and versatility? The cutting-edge devices that offer the best of both worlds by...
The post Watch: Top Foldable Smartphones in the Philippines 2022 appeared first on YugaTech | Philippines Tech News &…",https://www.yugatech.com/video/watch-top-foldable-smartphones-in-the-philippines-2022/,https://www.yugatech.com/wp-content/uploads/2022/12/fldable-smartphones-in-the-philippines-2022.jpg,2022-12-25T11:56:24Z,Are you on the hunt for the ultimate in mobile convenience and versatility? The cutting-edge devices that offer the best of both worlds by combining the portability of a smartphone with the expansive… [+405 chars]
71,"{'id': None, 'name': 'Nakedcapitalism.com'}",Conor Gallagher,Links 12/25/2022,"Our daily links, including Covid in China, the latest from Ukraine, and more Twitter files.",https://www.nakedcapitalism.com/2022/12/links-12-25-2022.html,https://www.nakedcapitalism.com/wp-content/uploads/2022/12/E9891235-3E82-4184-9036-7DBC4441B8A5-300x205.jpeg,2022-12-25T11:55:07Z,"Nearly 10,000 flights have been canceled or delayed so far this holiday weekend due to severe weather. Here are the 5 cities most plagued by delays and cancellations at the airport Business Insider
… [+6019 chars]"
72,"{'id': None, 'name': 'FX Empire'}",Reuters,Israel regulator awards licence to investors to set up new digital bank,"JERUSALEM (Reuters) -   Israel&#039;s banking regulator on Sunday approved a conditional licence and control permit to a group of entrepreneurs to establish a new online bank, the second addition to the highly concentrated banking sector in three years.",https://www.fxempire.com/news/article/israel-regulator-awards-licence-to-investors-to-set-up-new-digital-bank-1239815,https://responsive.fxempire.com/width/600/webp-lossy-70.q50/_fxempire_/2022/12/tagreuters.com2022newsml_LYNXMPEIBO01W1.jpg,2022-12-25T11:51:59Z,"The approvals, it said, will allow the founders to move forward and complete the mechanical, operational and regulatory preparations required for the start of the banks activities.
These include com… [+964 chars]"
73,"{'id': None, 'name': 'Zive.cz'}",Jiří Vojáček,Co je Darkstar. Skutečný příběh hypersonického letadla z úvodu filmu Top Gun: Maverick,"Darkstar je jen maketa, nelétá. • Stojí za jím Lockheed Martin a konstruktéři skutečných letadel.
• Lockheed takto ukazuje směr vývoje hypersonických technologií.",https://vtm.zive.cz/clanky/co-je-darkstar-skutecny-pribeh-hypersonickeho-letadla-z-uvodu-filmu-top-gun-maverick/sc-870-a-219676/default.aspx,https://www.zive.cz/getthumbnail.aspx?q=100&height=20000&width=20000&id_file=426060010,2022-12-25T11:45:00Z,"Darkstar vytvoil jeden z nejvtích výrobc bojových letoun na svt, americká spolenost Lockheed Martin (v esku aktuáln známá tím, e naí armád nabízí letouny F-35). Firma se k autorství hrd pihlásila ani… [+4922 chars]"
74,"{'id': None, 'name': 'Investing.com'}",Reuters,Israel regulator awards licence to investors to set up new digital bank,Israel regulator awards licence to investors to set up new digital bank,https://www.investing.com/news/economy/israel-regulator-awards-licence-to-investors-to-set-up-new-digital-bank-2970036,https://i-invdn-com.investing.com/news/indicatornews_5_800x533_L_1412601619.jpg,2022-12-25T11:40:30Z,"JERUSALEM (Reuters) - Israel's banking regulator on Sunday approved a conditional licence and control permit to a group of entrepreneurs to establish a new online bank, the second addition to the hig… [+1301 chars]"
75,"{'id': None, 'name': 'Longview News-Journal'}",,"Business Digest: Dec. 28, 2022 | Local | news-journal.com - Longview News-Journal","The latest news on new hires, job changes, promotions, awards and more among Longview-area businesses",https://www.news-journal.com/news/business/local/business-digest-dec-28-2022/article_45b38f70-82db-11ed-9f98-8b575816cbe9.html,https://bloximages.newyork1.vip.townnews.com/news-journal.com/content/tncms/assets/v3/editorial/4/64/464334fe-82e0-11ed-995a-17a8a1ce18f3/63a629722a1e8.image.jpg?crop=607%2C319%2C0%2C301&resize=607%2C319&order=crop%2Cresize,2022-12-25T11:40:00Z,"Christus announces ambulance upgrades
Christus Health has upgraded all its ground ambulance units serving the 12-county area with new life-saving technology, the health system announced.
The additi… [+8728 chars]"
76,"{'id': None, 'name': 'Yahoo Entertainment'}",Reuters,Israel regulator awards licence to investors to set up new digital bank,"Israel's banking regulator on Sunday approved a conditional licence and control permit to a group of entrepreneurs to establish a new online bank, the second...",https://finance.yahoo.com/news/israel-regulator-awards-licence-investors-113726999.html,https://media.zenfs.com/en/reuters-finance.com/d8263eeac2d8ddb6f6947283fa1c994f,2022-12-25T11:37:26Z,"JERUSALEM (Reuters) - Israel's banking regulator on Sunday approved a conditional licence and control permit to a group of entrepreneurs to establish a new online bank, the second addition to the hig… [+1359 chars]"
77,"{'id': None, 'name': 'CNA'}",,Israel regulator awards licence to investors to set up new digital bank,"JERUSALEM : Israel's banking regulator on Sunday approved a conditional licence and control permit to a group of entrepreneurs to establish a new online bank, the second addition to the highly concentrated banking sector in three years.The Bank of Israel said…",https://www.channelnewsasia.com/business/israel-regulator-awards-licence-investors-set-new-digital-bank-3167521,"https://onecms-res.cloudinary.com/image/upload/s--TKCV8nr9--/fl_relative,g_south_east,l_one-cms:core:watermark:reuters,w_0.1/f_auto,q_auto/c_fill,g_auto,h_676,w_1200/v1/one-cms/core/2022-12-25t113726z_1_lynxmpeibo01w_rtroptp_3_cenbank-israel-rates-minutes.jpg?itok=bo6J3tiY",2022-12-25T11:37:26Z,"JERUSALEM : Israel's banking regulator on Sunday approved a conditional licence and control permit to a group of entrepreneurs to establish a new online bank, the second addition to the highly concen… [+1291 chars]"
78,"{'id': 'reuters', 'name': 'Reuters'}",,Israel regulator awards licence to investors to set up new digital bank - Reuters,"Israel's banking regulator on Sunday approved a conditional licence and control permit to a group of entrepreneurs to establish a new online bank, the second addition to the highly concentrated banking sector in three years.",https://www.reuters.com/technology/israel-regulator-awards-licence-investors-set-up-new-digital-bank-2022-12-25/,https://www.reuters.com/resizer/1_nPHmUFqvUszaRd3kv4aMEhLU4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/XF3SVBEB6NKQHCVNCNE654UK24.jpg,2022-12-25T11:37:00Z,"JERUSALEM, Dec 25 (Reuters) - Israel's banking regulator on Sunday approved a conditional licence and control permit to a group of entrepreneurs to establish a new online bank, the second addition to… [+1420 chars]"
79,"{'id': None, 'name': 'Livemint'}",WSJ,Six ways to protect your money in 2023,Ready for the possibility of more economic chaos in the New Year? Here are some simple steps you can take now,https://www.livemint.com/money/personal-finance/six-ways-to-protect-your-money-in-2023-11671967421443.html,https://images.livemint.com/img/2022/12/25/600x338/banks_1671967792582_1671967792708_1671967792708.JPG,2022-12-25T11:30:51Z,"The highest inflation in four decades. A bear market in stocks. Fears of a recession. A crypto implosion. The past year was a trying one for American households. It strained their budgets, reduced th… [+12945 chars]"
80,"{'id': None, 'name': 'Royalsblue.com'}",,"Android 13 will come ""bundled"" with the Windows 11 operating ... - Royals Blue","Promised since the debut of the Windows 11 operating system, support for using Android apps was added much later, in the form of an update that installs an",https://www.royalsblue.com/android-13-will-come-bundled-with-the-windows-11-operating-system-making-it-easier-to-use-mobile-apps-on-your-pc/,https://www.royalsblue.com/wp-content/uploads/2022/12/Android-13-will-come-bundled-with-the-Windows-11-operating.jpg,2022-12-25T11:30:17Z,"Promised since the debut of the Windows 11 operating system, support for using Android apps was added much later, in the form of an update that installs an Android 12 kernel right into the Windows ke… [+1567 chars]"
